name	description	page
771	otshawytscha_homolog_chromosome	Chinook salmon chromosome/scaffold name	homologs
772	otshawytscha_homolog_chrom_start	Chinook salmon chromosome/scaffold start (bp)	homologs
773	otshawytscha_homolog_chrom_end	Chinook salmon chromosome/scaffold end (bp)	homologs
774	otshawytscha_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
775	otshawytscha_homolog_subtype	Last common ancestor with Chinook salmon	homologs
776	otshawytscha_homolog_orthology_type	Chinook salmon homology type	homologs
777	otshawytscha_homolog_perc_id	%id. target Chinook salmon gene identical to query gene	homologs
778	otshawytscha_homolog_perc_id_r1	%id. query gene identical to target Chinook salmon gene	homologs
779	otshawytscha_homolog_goc_score	Chinook salmon Gene-order conservation score	homologs
780	otshawytscha_homolog_orthology_confidence	Chinook salmon orthology confidence [0 low, 1 high]	homologs
781	atestudineus_homolog_ensembl_gene	Climbing perch gene stable ID	homologs
782	atestudineus_homolog_associated_gene_name	Climbing perch gene name	homologs
783	atestudineus_homolog_ensembl_peptide	Climbing perch protein or transcript stable ID	homologs
784	atestudineus_homolog_chromosome	Climbing perch chromosome/scaffold name	homologs
785	atestudineus_homolog_chrom_start	Climbing perch chromosome/scaffold start (bp)	homologs
786	atestudineus_homolog_chrom_end	Climbing perch chromosome/scaffold end (bp)	homologs
787	atestudineus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
788	atestudineus_homolog_subtype	Last common ancestor with Climbing perch	homologs
789	atestudineus_homolog_orthology_type	Climbing perch homology type	homologs
790	atestudineus_homolog_perc_id	%id. target Climbing perch gene identical to query gene	homologs
791	atestudineus_homolog_perc_id_r1	%id. query gene identical to target Climbing perch gene	homologs
792	atestudineus_homolog_goc_score	Climbing perch Gene-order conservation score	homologs
793	atestudineus_homolog_orthology_confidence	Climbing perch orthology confidence [0 low, 1 high]	homologs
794	aocellaris_homolog_ensembl_gene	Clown anemonefish gene stable ID	homologs
795	aocellaris_homolog_associated_gene_name	Clown anemonefish gene name	homologs
796	aocellaris_homolog_ensembl_peptide	Clown anemonefish protein or transcript stable ID	homologs
797	aocellaris_homolog_chromosome	Clown anemonefish chromosome/scaffold name	homologs
798	aocellaris_homolog_chrom_start	Clown anemonefish chromosome/scaffold start (bp)	homologs
799	aocellaris_homolog_chrom_end	Clown anemonefish chromosome/scaffold end (bp)	homologs
800	aocellaris_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
801	aocellaris_homolog_subtype	Last common ancestor with Clown anemonefish	homologs
802	aocellaris_homolog_orthology_type	Clown anemonefish homology type	homologs
803	aocellaris_homolog_perc_id	%id. target Clown anemonefish gene identical to query gene	homologs
804	aocellaris_homolog_perc_id_r1	%id. query gene identical to target Clown anemonefish gene	homologs
805	aocellaris_homolog_goc_score	Clown anemonefish Gene-order conservation score	homologs
806	aocellaris_homolog_orthology_confidence	Clown anemonefish orthology confidence [0 low, 1 high]	homologs
807	lchalumnae_homolog_ensembl_gene	Coelacanth gene stable ID	homologs
808	lchalumnae_homolog_associated_gene_name	Coelacanth gene name	homologs
809	lchalumnae_homolog_ensembl_peptide	Coelacanth protein or transcript stable ID	homologs
810	lchalumnae_homolog_chromosome	Coelacanth chromosome/scaffold name	homologs
811	lchalumnae_homolog_chrom_start	Coelacanth chromosome/scaffold start (bp)	homologs
812	lchalumnae_homolog_chrom_end	Coelacanth chromosome/scaffold end (bp)	homologs
813	lchalumnae_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
814	lchalumnae_homolog_subtype	Last common ancestor with Coelacanth	homologs
815	lchalumnae_homolog_orthology_type	Coelacanth homology type	homologs
816	lchalumnae_homolog_perc_id	%id. target Coelacanth gene identical to query gene	homologs
817	lchalumnae_homolog_perc_id_r1	%id. query gene identical to target Coelacanth gene	homologs
818	lchalumnae_homolog_goc_score	Coelacanth Gene-order conservation score	homologs
819	lchalumnae_homolog_orthology_confidence	Coelacanth orthology confidence [0 low, 1 high]	homologs
820	okisutch_homolog_ensembl_gene	Coho salmon gene stable ID	homologs
821	okisutch_homolog_associated_gene_name	Coho salmon gene name	homologs
822	okisutch_homolog_ensembl_peptide	Coho salmon protein or transcript stable ID	homologs
823	okisutch_homolog_chromosome	Coho salmon chromosome/scaffold name	homologs
824	okisutch_homolog_chrom_start	Coho salmon chromosome/scaffold start (bp)	homologs
825	okisutch_homolog_chrom_end	Coho salmon chromosome/scaffold end (bp)	homologs
826	okisutch_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
827	okisutch_homolog_subtype	Last common ancestor with Coho salmon	homologs
828	okisutch_homolog_orthology_type	Coho salmon homology type	homologs
829	okisutch_homolog_perc_id	%id. target Coho salmon gene identical to query gene	homologs
830	okisutch_homolog_perc_id_r1	%id. query gene identical to target Coho salmon gene	homologs
831	okisutch_homolog_goc_score	Coho salmon Gene-order conservation score	homologs
832	okisutch_homolog_orthology_confidence	Coho salmon orthology confidence [0 low, 1 high]	homologs
833	scanaria_homolog_ensembl_gene	Common canary gene stable ID	homologs
834	scanaria_homolog_associated_gene_name	Common canary gene name	homologs
835	scanaria_homolog_ensembl_peptide	Common canary protein or transcript stable ID	homologs
836	scanaria_homolog_chromosome	Common canary chromosome/scaffold name	homologs
837	scanaria_homolog_chrom_start	Common canary chromosome/scaffold start (bp)	homologs
838	scanaria_homolog_chrom_end	Common canary chromosome/scaffold end (bp)	homologs
839	scanaria_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
840	scanaria_homolog_subtype	Last common ancestor with Common canary	homologs
841	scanaria_homolog_orthology_type	Common canary homology type	homologs
842	scanaria_homolog_perc_id	%id. target Common canary gene identical to query gene	homologs
843	scanaria_homolog_perc_id_r1	%id. query gene identical to target Common canary gene	homologs
844	scanaria_homolog_goc_score	Common canary Gene-order conservation score	homologs
845	scanaria_homolog_orthology_confidence	Common canary orthology confidence [0 low, 1 high]	homologs
846	ccarpio_homolog_ensembl_gene	Common carp gene stable ID	homologs
847	ccarpio_homolog_associated_gene_name	Common carp gene name	homologs
848	ccarpio_homolog_ensembl_peptide	Common carp protein or transcript stable ID	homologs
849	ccarpio_homolog_chromosome	Common carp chromosome/scaffold name	homologs
850	ccarpio_homolog_chrom_start	Common carp chromosome/scaffold start (bp)	homologs
851	ccarpio_homolog_chrom_end	Common carp chromosome/scaffold end (bp)	homologs
852	ccarpio_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
853	ccarpio_homolog_subtype	Last common ancestor with Common carp	homologs
854	ccarpio_homolog_orthology_type	Common carp homology type	homologs
855	ccarpio_homolog_perc_id	%id. target Common carp gene identical to query gene	homologs
856	ccarpio_homolog_perc_id_r1	%id. query gene identical to target Common carp gene	homologs
857	ccarpio_homolog_goc_score	Common carp Gene-order conservation score	homologs
858	ccarpio_homolog_orthology_confidence	Common carp orthology confidence [0 low, 1 high]	homologs
859	pmuralis_homolog_ensembl_gene	Common wall lizard gene stable ID	homologs
860	pmuralis_homolog_associated_gene_name	Common wall lizard gene name	homologs
861	pmuralis_homolog_ensembl_peptide	Common wall lizard protein or transcript stable ID	homologs
862	pmuralis_homolog_chromosome	Common wall lizard chromosome/scaffold name	homologs
863	pmuralis_homolog_chrom_start	Common wall lizard chromosome/scaffold start (bp)	homologs
864	pmuralis_homolog_chrom_end	Common wall lizard chromosome/scaffold end (bp)	homologs
865	pmuralis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
866	pmuralis_homolog_subtype	Last common ancestor with Common wall lizard	homologs
867	pmuralis_homolog_orthology_type	Common wall lizard homology type	homologs
868	pmuralis_homolog_perc_id	%id. target Common wall lizard gene identical to query gene	homologs
869	pmuralis_homolog_perc_id_r1	%id. query gene identical to target Common wall lizard gene	homologs
870	pmuralis_homolog_goc_score	Common wall lizard Gene-order conservation score	homologs
871	pmuralis_homolog_orthology_confidence	Common wall lizard orthology confidence [0 low, 1 high]	homologs
872	vursinus_homolog_ensembl_gene	Common wombat gene stable ID	homologs
873	vursinus_homolog_associated_gene_name	Common wombat gene name	homologs
874	vursinus_homolog_ensembl_peptide	Common wombat protein or transcript stable ID	homologs
875	vursinus_homolog_chromosome	Common wombat chromosome/scaffold name	homologs
876	vursinus_homolog_chrom_start	Common wombat chromosome/scaffold start (bp)	homologs
877	vursinus_homolog_chrom_end	Common wombat chromosome/scaffold end (bp)	homologs
878	vursinus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
879	vursinus_homolog_subtype	Last common ancestor with Common wombat	homologs
880	vursinus_homolog_orthology_type	Common wombat homology type	homologs
881	vursinus_homolog_perc_id	%id. target Common wombat gene identical to query gene	homologs
882	vursinus_homolog_perc_id_r1	%id. query gene identical to target Common wombat gene	homologs
883	vursinus_homolog_goc_score	Common wombat Gene-order conservation score	homologs
884	vursinus_homolog_orthology_confidence	Common wombat orthology confidence [0 low, 1 high]	homologs
885	pcoquereli_homolog_ensembl_gene	Coquerel's sifaka gene stable ID	homologs
886	pcoquereli_homolog_associated_gene_name	Coquerel's sifaka gene name	homologs
887	pcoquereli_homolog_ensembl_peptide	Coquerel's sifaka protein or transcript stable ID	homologs
888	pcoquereli_homolog_chromosome	Coquerel's sifaka chromosome/scaffold name	homologs
889	pcoquereli_homolog_chrom_start	Coquerel's sifaka chromosome/scaffold start (bp)	homologs
890	pcoquereli_homolog_chrom_end	Coquerel's sifaka chromosome/scaffold end (bp)	homologs
891	pcoquereli_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
892	pcoquereli_homolog_subtype	Last common ancestor with Coquerel's sifaka	homologs
893	pcoquereli_homolog_orthology_type	Coquerel's sifaka homology type	homologs
894	pcoquereli_homolog_perc_id	%id. target Coquerel's sifaka gene identical to query gene	homologs
895	pcoquereli_homolog_perc_id_r1	%id. query gene identical to target Coquerel's sifaka gene	homologs
896	pcoquereli_homolog_goc_score	Coquerel's sifaka Gene-order conservation score	homologs
897	pcoquereli_homolog_orthology_confidence	Coquerel's sifaka orthology confidence [0 low, 1 high]	homologs
898	btaurus_homolog_ensembl_gene	Cow gene stable ID	homologs
899	btaurus_homolog_associated_gene_name	Cow gene name	homologs
900	btaurus_homolog_ensembl_peptide	Cow protein or transcript stable ID	homologs
901	btaurus_homolog_chromosome	Cow chromosome/scaffold name	homologs
902	btaurus_homolog_chrom_start	Cow chromosome/scaffold start (bp)	homologs
903	btaurus_homolog_chrom_end	Cow chromosome/scaffold end (bp)	homologs
904	btaurus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
905	btaurus_homolog_subtype	Last common ancestor with Cow	homologs
906	btaurus_homolog_orthology_type	Cow homology type	homologs
907	btaurus_homolog_perc_id	%id. target Cow gene identical to query gene	homologs
908	btaurus_homolog_perc_id_r1	%id. query gene identical to target Cow gene	homologs
909	btaurus_homolog_goc_score	Cow Gene-order conservation score	homologs
910	btaurus_homolog_wga_coverage	Cow Whole-genome alignment coverage	homologs
911	btaurus_homolog_orthology_confidence	Cow orthology confidence [0 low, 1 high]	homologs
912	odegus_homolog_ensembl_gene	Degu gene stable ID	homologs
913	odegus_homolog_associated_gene_name	Degu gene name	homologs
914	odegus_homolog_ensembl_peptide	Degu protein or transcript stable ID	homologs
915	odegus_homolog_chromosome	Degu chromosome/scaffold name	homologs
916	odegus_homolog_chrom_start	Degu chromosome/scaffold start (bp)	homologs
917	odegus_homolog_chrom_end	Degu chromosome/scaffold end (bp)	homologs
918	odegus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
919	odegus_homolog_subtype	Last common ancestor with Degu	homologs
920	odegus_homolog_orthology_type	Degu homology type	homologs
921	odegus_homolog_perc_id	%id. target Degu gene identical to query gene	homologs
922	odegus_homolog_perc_id_r1	%id. query gene identical to target Degu gene	homologs
923	odegus_homolog_goc_score	Degu Gene-order conservation score	homologs
924	odegus_homolog_orthology_confidence	Degu orthology confidence [0 low, 1 high]	homologs
925	dclupeoides_homolog_ensembl_gene	Denticle herring gene stable ID	homologs
926	dclupeoides_homolog_associated_gene_name	Denticle herring gene name	homologs
927	dclupeoides_homolog_ensembl_peptide	Denticle herring protein or transcript stable ID	homologs
928	dclupeoides_homolog_chromosome	Denticle herring chromosome/scaffold name	homologs
929	dclupeoides_homolog_chrom_start	Denticle herring chromosome/scaffold start (bp)	homologs
930	dclupeoides_homolog_chrom_end	Denticle herring chromosome/scaffold end (bp)	homologs
931	dclupeoides_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
932	dclupeoides_homolog_subtype	Last common ancestor with Denticle herring	homologs
933	dclupeoides_homolog_orthology_type	Denticle herring homology type	homologs
934	dclupeoides_homolog_perc_id	%id. target Denticle herring gene identical to query gene	homologs
935	dclupeoides_homolog_perc_id_r1	%id. query gene identical to target Denticle herring gene	homologs
936	dclupeoides_homolog_goc_score	Denticle herring Gene-order conservation score	homologs
937	dclupeoides_homolog_orthology_confidence	Denticle herring orthology confidence [0 low, 1 high]	homologs
938	cldingo_homolog_ensembl_gene	Dingo gene stable ID	homologs
939	cldingo_homolog_associated_gene_name	Dingo gene name	homologs
940	cldingo_homolog_ensembl_peptide	Dingo protein or transcript stable ID	homologs
941	cldingo_homolog_chromosome	Dingo chromosome/scaffold name	homologs
942	cldingo_homolog_chrom_start	Dingo chromosome/scaffold start (bp)	homologs
943	cldingo_homolog_chrom_end	Dingo chromosome/scaffold end (bp)	homologs
944	cldingo_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
945	cldingo_homolog_subtype	Last common ancestor with Dingo	homologs
946	cldingo_homolog_orthology_type	Dingo homology type	homologs
947	cldingo_homolog_perc_id	%id. target Dingo gene identical to query gene	homologs
948	cldingo_homolog_perc_id_r1	%id. query gene identical to target Dingo gene	homologs
949	cldingo_homolog_goc_score	Dingo Gene-order conservation score	homologs
950	cldingo_homolog_wga_coverage	Dingo Whole-genome alignment coverage	homologs
951	cldingo_homolog_orthology_confidence	Dingo orthology confidence [0 low, 1 high]	homologs
952	clfamiliaris_homolog_ensembl_gene	Dog gene stable ID	homologs
953	clfamiliaris_homolog_associated_gene_name	Dog gene name	homologs
954	clfamiliaris_homolog_ensembl_peptide	Dog protein or transcript stable ID	homologs
955	clfamiliaris_homolog_chromosome	Dog chromosome/scaffold name	homologs
956	clfamiliaris_homolog_chrom_start	Dog chromosome/scaffold start (bp)	homologs
957	clfamiliaris_homolog_chrom_end	Dog chromosome/scaffold end (bp)	homologs
958	clfamiliaris_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
959	clfamiliaris_homolog_subtype	Last common ancestor with Dog	homologs
960	clfamiliaris_homolog_orthology_type	Dog homology type	homologs
961	clfamiliaris_homolog_perc_id	%id. target Dog gene identical to query gene	homologs
962	clfamiliaris_homolog_perc_id_r1	%id. query gene identical to target Dog gene	homologs
963	clfamiliaris_homolog_goc_score	Dog Gene-order conservation score	homologs
964	clfamiliaris_homolog_wga_coverage	Dog Whole-genome alignment coverage	homologs
965	clfamiliaris_homolog_orthology_confidence	Dog orthology confidence [0 low, 1 high]	homologs
966	ttruncatus_homolog_ensembl_gene	Dolphin gene stable ID	homologs
967	ttruncatus_homolog_associated_gene_name	Dolphin gene name	homologs
968	ttruncatus_homolog_ensembl_peptide	Dolphin protein or transcript stable ID	homologs
969	ttruncatus_homolog_chromosome	Dolphin chromosome/scaffold name	homologs
970	ttruncatus_homolog_chrom_start	Dolphin chromosome/scaffold start (bp)	homologs
971	ttruncatus_homolog_chrom_end	Dolphin chromosome/scaffold end (bp)	homologs
972	ttruncatus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
973	ttruncatus_homolog_subtype	Last common ancestor with Dolphin	homologs
974	ttruncatus_homolog_orthology_type	Dolphin homology type	homologs
975	ttruncatus_homolog_perc_id	%id. target Dolphin gene identical to query gene	homologs
976	ttruncatus_homolog_perc_id_r1	%id. query gene identical to target Dolphin gene	homologs
977	ttruncatus_homolog_goc_score	Dolphin Gene-order conservation score	homologs
978	ttruncatus_homolog_orthology_confidence	Dolphin orthology confidence [0 low, 1 high]	homologs
979	bgrunniens_homolog_ensembl_gene	Domestic yak gene stable ID	homologs
980	bgrunniens_homolog_associated_gene_name	Domestic yak gene name	homologs
981	bgrunniens_homolog_ensembl_peptide	Domestic yak protein or transcript stable ID	homologs
982	bgrunniens_homolog_chromosome	Domestic yak chromosome/scaffold name	homologs
983	bgrunniens_homolog_chrom_start	Domestic yak chromosome/scaffold start (bp)	homologs
984	bgrunniens_homolog_chrom_end	Domestic yak chromosome/scaffold end (bp)	homologs
985	bgrunniens_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
986	bgrunniens_homolog_subtype	Last common ancestor with Domestic yak	homologs
987	bgrunniens_homolog_orthology_type	Domestic yak homology type	homologs
988	bgrunniens_homolog_perc_id	%id. target Domestic yak gene identical to query gene	homologs
989	bgrunniens_homolog_perc_id_r1	%id. query gene identical to target Domestic yak gene	homologs
990	bgrunniens_homolog_goc_score	Domestic yak Gene-order conservation score	homologs
991	bgrunniens_homolog_wga_coverage	Domestic yak Whole-genome alignment coverage	homologs
992	bgrunniens_homolog_orthology_confidence	Domestic yak orthology confidence [0 low, 1 high]	homologs
993	eaasinus_homolog_ensembl_gene	Donkey gene stable ID	homologs
994	eaasinus_homolog_associated_gene_name	Donkey gene name	homologs
995	eaasinus_homolog_ensembl_peptide	Donkey protein or transcript stable ID	homologs
996	eaasinus_homolog_chromosome	Donkey chromosome/scaffold name	homologs
997	eaasinus_homolog_chrom_start	Donkey chromosome/scaffold start (bp)	homologs
998	eaasinus_homolog_chrom_end	Donkey chromosome/scaffold end (bp)	homologs
999	eaasinus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1000	eaasinus_homolog_subtype	Last common ancestor with Donkey	homologs
1001	eaasinus_homolog_orthology_type	Donkey homology type	homologs
1002	eaasinus_homolog_perc_id	%id. target Donkey gene identical to query gene	homologs
1003	eaasinus_homolog_perc_id_r1	%id. query gene identical to target Donkey gene	homologs
1004	eaasinus_homolog_goc_score	Donkey Gene-order conservation score	homologs
1005	eaasinus_homolog_orthology_confidence	Donkey orthology confidence [0 low, 1 high]	homologs
1006	mleucophaeus_homolog_ensembl_gene	Drill gene stable ID	homologs
1007	mleucophaeus_homolog_associated_gene_name	Drill gene name	homologs
1008	mleucophaeus_homolog_ensembl_peptide	Drill protein or transcript stable ID	homologs
1009	mleucophaeus_homolog_chromosome	Drill chromosome/scaffold name	homologs
1010	mleucophaeus_homolog_chrom_start	Drill chromosome/scaffold start (bp)	homologs
1011	mleucophaeus_homolog_chrom_end	Drill chromosome/scaffold end (bp)	homologs
1012	mleucophaeus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1013	mleucophaeus_homolog_subtype	Last common ancestor with Drill	homologs
1014	mleucophaeus_homolog_orthology_type	Drill homology type	homologs
1015	mleucophaeus_homolog_perc_id	%id. target Drill gene identical to query gene	homologs
1016	mleucophaeus_homolog_perc_id_r1	%id. query gene identical to target Drill gene	homologs
1017	mleucophaeus_homolog_goc_score	Drill Gene-order conservation score	homologs
1018	mleucophaeus_homolog_orthology_confidence	Drill orthology confidence [0 low, 1 high]	homologs
1019	dmelanogaster_homolog_ensembl_gene	Drosophila melanogaster gene stable ID	homologs
1020	dmelanogaster_homolog_associated_gene_name	Drosophila melanogaster gene name	homologs
1021	dmelanogaster_homolog_ensembl_peptide	Drosophila melanogaster protein or transcript stable ID	homologs
1022	dmelanogaster_homolog_chromosome	Drosophila melanogaster chromosome/scaffold name	homologs
1023	dmelanogaster_homolog_chrom_start	Drosophila melanogaster chromosome/scaffold start (bp)	homologs
1024	dmelanogaster_homolog_chrom_end	Drosophila melanogaster chromosome/scaffold end (bp)	homologs
1025	dmelanogaster_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1026	dmelanogaster_homolog_subtype	Last common ancestor with Drosophila melanogaster	homologs
1027	dmelanogaster_homolog_orthology_type	Drosophila melanogaster homology type	homologs
1028	dmelanogaster_homolog_perc_id	%id. target Drosophila melanogaster gene identical to query gene	homologs
1029	dmelanogaster_homolog_perc_id_r1	%id. query gene identical to target Drosophila melanogaster gene	homologs
1030	dmelanogaster_homolog_orthology_confidence	Drosophila melanogaster orthology confidence [0 low, 1 high]	homologs
1031	applatyrhynchos_homolog_ensembl_gene	Duck gene stable ID	homologs
1032	applatyrhynchos_homolog_associated_gene_name	Duck gene name	homologs
1033	applatyrhynchos_homolog_ensembl_peptide	Duck protein or transcript stable ID	homologs
1034	applatyrhynchos_homolog_chromosome	Duck chromosome/scaffold name	homologs
1035	applatyrhynchos_homolog_chrom_start	Duck chromosome/scaffold start (bp)	homologs
1036	applatyrhynchos_homolog_chrom_end	Duck chromosome/scaffold end (bp)	homologs
1037	applatyrhynchos_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1038	applatyrhynchos_homolog_subtype	Last common ancestor with Duck	homologs
1039	applatyrhynchos_homolog_orthology_type	Duck homology type	homologs
1040	applatyrhynchos_homolog_perc_id	%id. target Duck gene identical to query gene	homologs
1041	applatyrhynchos_homolog_perc_id_r1	%id. query gene identical to target Duck gene	homologs
1042	applatyrhynchos_homolog_goc_score	Duck Gene-order conservation score	homologs
1043	applatyrhynchos_homolog_orthology_confidence	Duck orthology confidence [0 low, 1 high]	homologs
1044	ptextilis_homolog_ensembl_gene	Eastern brown snake gene stable ID	homologs
1045	ptextilis_homolog_associated_gene_name	Eastern brown snake gene name	homologs
1046	ptextilis_homolog_ensembl_peptide	Eastern brown snake protein or transcript stable ID	homologs
1047	ptextilis_homolog_chromosome	Eastern brown snake chromosome/scaffold name	homologs
1048	ptextilis_homolog_chrom_start	Eastern brown snake chromosome/scaffold start (bp)	homologs
1049	ptextilis_homolog_chrom_end	Eastern brown snake chromosome/scaffold end (bp)	homologs
1050	ptextilis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1051	ptextilis_homolog_subtype	Last common ancestor with Eastern brown snake	homologs
1052	ptextilis_homolog_orthology_type	Eastern brown snake homology type	homologs
1053	ptextilis_homolog_perc_id	%id. target Eastern brown snake gene identical to query gene	homologs
1054	ptextilis_homolog_perc_id_r1	%id. query gene identical to target Eastern brown snake gene	homologs
1055	ptextilis_homolog_goc_score	Eastern brown snake Gene-order conservation score	homologs
1056	ptextilis_homolog_orthology_confidence	Eastern brown snake orthology confidence [0 low, 1 high]	homologs
1057	acalliptera_homolog_ensembl_gene	Eastern happy gene stable ID	homologs
1058	acalliptera_homolog_associated_gene_name	Eastern happy gene name	homologs
1059	acalliptera_homolog_ensembl_peptide	Eastern happy protein or transcript stable ID	homologs
1060	acalliptera_homolog_chromosome	Eastern happy chromosome/scaffold name	homologs
1061	acalliptera_homolog_chrom_start	Eastern happy chromosome/scaffold start (bp)	homologs
1062	acalliptera_homolog_chrom_end	Eastern happy chromosome/scaffold end (bp)	homologs
1063	acalliptera_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1064	acalliptera_homolog_subtype	Last common ancestor with Eastern happy	homologs
1065	acalliptera_homolog_orthology_type	Eastern happy homology type	homologs
1066	acalliptera_homolog_perc_id	%id. target Eastern happy gene identical to query gene	homologs
1067	acalliptera_homolog_perc_id_r1	%id. query gene identical to target Eastern happy gene	homologs
1068	acalliptera_homolog_goc_score	Eastern happy Gene-order conservation score	homologs
1069	acalliptera_homolog_orthology_confidence	Eastern happy orthology confidence [0 low, 1 high]	homologs
1070	eelectricus_homolog_ensembl_gene	Electric eel gene stable ID	homologs
1071	eelectricus_homolog_associated_gene_name	Electric eel gene name	homologs
1072	eelectricus_homolog_ensembl_peptide	Electric eel protein or transcript stable ID	homologs
1073	eelectricus_homolog_chromosome	Electric eel chromosome/scaffold name	homologs
1074	eelectricus_homolog_chrom_start	Electric eel chromosome/scaffold start (bp)	homologs
1075	eelectricus_homolog_chrom_end	Electric eel chromosome/scaffold end (bp)	homologs
1076	eelectricus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1077	eelectricus_homolog_subtype	Last common ancestor with Electric eel	homologs
1078	eelectricus_homolog_orthology_type	Electric eel homology type	homologs
1079	eelectricus_homolog_perc_id	%id. target Electric eel gene identical to query gene	homologs
1080	eelectricus_homolog_perc_id_r1	%id. query gene identical to target Electric eel gene	homologs
1081	eelectricus_homolog_goc_score	Electric eel Gene-order conservation score	homologs
1082	eelectricus_homolog_orthology_confidence	Electric eel orthology confidence [0 low, 1 high]	homologs
1083	lafricana_homolog_ensembl_gene	Elephant gene stable ID	homologs
1084	lafricana_homolog_associated_gene_name	Elephant gene name	homologs
1085	lafricana_homolog_ensembl_peptide	Elephant protein or transcript stable ID	homologs
1086	lafricana_homolog_chromosome	Elephant chromosome/scaffold name	homologs
1087	lafricana_homolog_chrom_start	Elephant chromosome/scaffold start (bp)	homologs
1088	lafricana_homolog_chrom_end	Elephant chromosome/scaffold end (bp)	homologs
1089	lafricana_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1090	lafricana_homolog_subtype	Last common ancestor with Elephant	homologs
1091	lafricana_homolog_orthology_type	Elephant homology type	homologs
1092	lafricana_homolog_perc_id	%id. target Elephant gene identical to query gene	homologs
1093	lafricana_homolog_perc_id_r1	%id. query gene identical to target Elephant gene	homologs
1094	lafricana_homolog_goc_score	Elephant Gene-order conservation score	homologs
1095	lafricana_homolog_wga_coverage	Elephant Whole-genome alignment coverage	homologs
1096	lafricana_homolog_orthology_confidence	Elephant orthology confidence [0 low, 1 high]	homologs
1097	cmilii_homolog_ensembl_gene	Elephant shark gene stable ID	homologs
1098	cmilii_homolog_associated_gene_name	Elephant shark gene name	homologs
1099	cmilii_homolog_ensembl_peptide	Elephant shark protein or transcript stable ID	homologs
1100	cmilii_homolog_chromosome	Elephant shark chromosome/scaffold name	homologs
1101	cmilii_homolog_chrom_start	Elephant shark chromosome/scaffold start (bp)	homologs
1102	cmilii_homolog_chrom_end	Elephant shark chromosome/scaffold end (bp)	homologs
1103	cmilii_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1104	cmilii_homolog_subtype	Last common ancestor with Elephant shark	homologs
1105	cmilii_homolog_orthology_type	Elephant shark homology type	homologs
1106	cmilii_homolog_perc_id	%id. target Elephant shark gene identical to query gene	homologs
1107	cmilii_homolog_perc_id_r1	%id. query gene identical to target Elephant shark gene	homologs
1108	cmilii_homolog_orthology_confidence	Elephant shark orthology confidence [0 low, 1 high]	homologs
1109	svulgaris_homolog_ensembl_gene	Eurasian red squirrel gene stable ID	homologs
1110	svulgaris_homolog_associated_gene_name	Eurasian red squirrel gene name	homologs
1111	svulgaris_homolog_ensembl_peptide	Eurasian red squirrel protein or transcript stable ID	homologs
1112	svulgaris_homolog_chromosome	Eurasian red squirrel chromosome/scaffold name	homologs
1113	svulgaris_homolog_chrom_start	Eurasian red squirrel chromosome/scaffold start (bp)	homologs
1114	svulgaris_homolog_chrom_end	Eurasian red squirrel chromosome/scaffold end (bp)	homologs
1115	svulgaris_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
1116	svulgaris_homolog_subtype	Last common ancestor with Eurasian red squirrel	homologs
1117	svulgaris_homolog_orthology_type	Eurasian red squirrel homology type	homologs
1118	svulgaris_homolog_perc_id	%id. target Eurasian red squirrel gene identical to query gene	homologs
1119	svulgaris_homolog_perc_id_r1	%id. query gene identical to target Eurasian red squirrel gene	homologs
1120	svulgaris_homolog_goc_score	Eurasian red squirrel Gene-order conservation score	homologs
1121	svulgaris_homolog_wga_coverage	Eurasian red squirrel Whole-genome alignment coverage	homologs
1122	svulgaris_homolog_orthology_confidence	Eurasian red squirrel orthology confidence [0 low, 1 high]	homologs
1123	dlabrax_homolog_ensembl_gene	European seabass gene stable ID	homologs
1124	dlabrax_homolog_associated_gene_name	European seabass gene name	homologs
1125	dlabrax_homolog_ensembl_peptide	European seabass protein or transcript stable ID	homologs
